timestamp,end_timestamp,signal_type,raw_value,threshold,event_label,severity,confidence,duration_seconds,additional_data
2026-03-03 22:35:22.162157,2026-03-10 21:18:52.162157,FUSED_ACCEL_AUDIO,68.29052539716619,COMBINED_THRESHOLD,DRIVER_STRESS_EVENT,medium,0.7,600210.0,"{""stress_level"": ""low_stress"", ""signal_combination"": ""harsh_bump + sustained_high_noise"", ""accelerometer_event"": {""timestamp"": ""2026-03-03 22:35:22.162157"", ""end_timestamp"": ""2026-03-03 22:35:34.162157"", ""event_type"": ""harsh_bump"", ""severity"": ""medium"", ""confidence"": 1.0, ""peak_index"": 6400, ""features"": {""max_magnitude"": 0.04767296561582096, ""min_magnitude"": 0.04063935416087198, ""mean_jerk"": 0.0810892504951187, ""max_jerk"": 0.15990961531748762, ""duration_samples"": 5, ""variance"": 8.735218649439143e-06, ""max_vertical_g"": 8.808460754332314, ""dominant_frequency"": 4.865}, ""duration_seconds"": 0.5}, ""audio_event"": {""timestamp"": ""2026-03-03 22:35:22.162157"", ""end_timestamp"": ""2026-03-08 23:41:22.162157"", ""event_type"": ""sustained_high_noise"", ""severity"": ""medium"", ""confidence"": -0.0854737301416904, ""peak_decibel"": 68.29052539716619, ""avg_decibel"": 60.57637545456196, ""duration_seconds"": 435960.0, ""signal_type"": ""audio""}, ""detection_method"": ""multi_signal_fusion""}"
2026-03-03 22:35:22.162157,2026-03-08 23:41:22.162157,AUDIO,68.29052539716619,70,SUSTAINED_HIGH_NOISE,medium,-0.0854737301416904,435960.0,"{""peak_decibel"": 68.29052539716619, ""avg_decibel"": 60.57637545456196, ""event_type"": ""sustained_high_noise"", ""detection_method"": ""audio_analysis""}"
2026-03-03 22:35:22.162157,2026-03-03 22:35:34.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:35:58.162157,2026-03-03 22:36:10.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:36:22.162157,2026-03-03 22:36:34.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:36:58.162157,2026-03-03 22:37:10.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:37:16.162157,2026-03-03 22:37:28.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:37:46.162157,2026-03-03 22:37:58.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:38:22.162157,2026-03-03 22:38:34.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:38:40.162157,2026-03-03 22:38:52.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:39:04.162157,2026-03-03 22:39:16.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:39:40.162157,2026-03-03 22:39:52.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:39:58.162157,2026-03-03 22:40:10.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-03 22:40:16.162157,2026-03-04 13:07:28.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-04 03:32:46.162157,2026-03-04 03:32:58.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-04 03:33:10.162157,2026-03-04 03:33:22.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-04 03:33:28.162157,2026-03-04 03:33:40.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
2026-03-04 03:33:46.162157,2026-03-04 03:33:58.162157,ACCELEROMETER,0.0,0.0,HARSH_BUMP,medium,1.0,0.5,"{""peak_magnitude"": null, ""event_type"": ""harsh_bump"", ""detection_method"": ""accelerometer_analysis""}"
